site_id,mgmt_ip,cf_Status
ST-3492,172.17.8.38,Active
ST-3493,172.17.12.188,Active
ST-3494,172.17.7.247,Active
ST-3502,172.17.8.193,Active
ST-3542,10.10.38.94,Active
ST-3557,10.8.46.57,Active
ST-3559,10.10.1.162,Active
ST-3608,172.17.8.40,Active
ST-3609,172.17.8.80,Active
ST-3627,172.17.8.82,Active
ST-3629,10.10.0.2,Active
ST-3634,10.8.46.134,Active
ST-3642,172.17.13.183,Active
ST-3654,172.17.12.243,Active
ST-3655,10.8.46.155,Active
ST-3659,172.17.12.44,Active
ST-3660,172.17.12.249,Active
ST-3666,172.17.8.76,Active
ST-3683,172.17.8.253,Active
ST-3698,172.17.8.158,Active
ST-3704,10.10.39.34,Active
ST-3737,10.10.26.182,Active
ST-3738,10.10.25.98,Active
ST-3782,10.8.47.32,Active
ST-3795,10.10.0.94,Active
ST-3829,10.10.1.242,Active
ST-3841,10.10.25.226,Active
