site_id,cf_Status
ST-1139,ACTIVE
ST-1142,ACTIVE
ST-1145,ACTIVE
ST-1151,ACTIVE
ST-1156,ACTIVE
ST-1158,ACTIVE
ST-1159,ACTIVE
ST-1162,ACTIVE
ST-1167,ACTIVE
ST-1168,ACTIVE
ST-1171,ACTIVE
ST-1176,ACTIVE
ST-1177,ACTIVE
ST-1180,ACTIVE
ST-1184,ACTIVE
ST-1185,ACTIVE
ST-1186,ACTIVE
ST-1193,TEMPORARILY CLOSED
ST-1198,ACTIVE
ST-1199,ACTIVE
ST-1200,ACTIVE
ST-1206,TEMPORARILY CLOSED
ST-1222,ACTIVE
ST-1223,ACTIVE
ST-1224,ACTIVE
ST-1231,ACTIVE
ST-1232,ACTIVE
ST-1233,ACTIVE
ST-1234,ACTIVE
ST-1235,ACTIVE
ST-1237,ACTIVE
ST-1238,ACTIVE
ST-1243,ACTIVE
ST-1244,ACTIVE
ST-1245,ACTIVE
ST-1248,TEMPORARILY CLOSED
ST-1257,ACTIVE
ST-1260,ACTIVE
ST-1262,ACTIVE
ST-1273,ACTIVE
ST-1278,ACTIVE
ST-1279,ACTIVE
ST-1280,ACTIVE
ST-1288,ACTIVE
ST-1290,ACTIVE
ST-1292,ACTIVE
ST-1298,ACTIVE
ST-1302,ACTIVE
ST-1303,ACTIVE
ST-1306,ACTIVE
ST-1310,TEMPORARILY CLOSED
ST-1311,ACTIVE
ST-1313,ACTIVE
ST-1315,ACTIVE
ST-1317,ACTIVE
ST-1320,ACTIVE
ST-1324,ACTIVE
ST-1331,ACTIVE
ST-1332,ACTIVE
ST-1335,ACTIVE
ST-1338,ACTIVE
ST-1340,ACTIVE
ST-1341,ACTIVE
ST-1342,ACTIVE
ST-1345,ACTIVE
ST-1347,ACTIVE
ST-1348,ACTIVE
ST-1349,ACTIVE
ST-1353,ACTIVE
ST-1360,ACTIVE
ST-1361,ACTIVE
ST-1363,ACTIVE
ST-1364,ACTIVE
ST-1365,ACTIVE
ST-1366,ACTIVE
ST-1378,ACTIVE
ST-1380,ACTIVE
ST-1384,ACTIVE
ST-1385,TEMPORARILY CLOSED
ST-1391,ACTIVE
ST-1395,ACTIVE
ST-1408,ACTIVE
ST-1417,ACTIVE
ST-1418,ACTIVE
ST-1419,ACTIVE
ST-1420,ACTIVE
ST-1422,ACTIVE
ST-1424,ACTIVE
ST-1433,ACTIVE
ST-1434,ACTIVE
ST-1437,ACTIVE
ST-1438,ACTIVE
ST-1439,TEMPORARILY CLOSED
ST-1443,ACTIVE
ST-1446,ACTIVE
ST-1447,ACTIVE
ST-1448,ACTIVE
ST-1451,ACTIVE
ST-1452,ACTIVE
ST-1453,ACTIVE
ST-1465,ACTIVE
ST-1466,ACTIVE
ST-1469,ACTIVE
ST-1481,ACTIVE
ST-1486,ACTIVE
ST-1487,ACTIVE
ST-1489,ACTIVE
ST-1490,ACTIVE
ST-1491,ACTIVE
ST-1497,ACTIVE
ST-1500,ACTIVE
ST-1502,ACTIVE
ST-1503,ACTIVE
ST-1508,ACTIVE
ST-1510,ACTIVE
ST-1513,ACTIVE
ST-1526,ACTIVE
ST-1527,ACTIVE
ST-1528,ACTIVE
ST-1529,ACTIVE
ST-1530,ACTIVE
ST-1531,ACTIVE
ST-1532,TEMPORARILY CLOSED
ST-1540,ACTIVE
ST-1542,ACTIVE
ST-1544,ACTIVE
ST-1546,ACTIVE
ST-1553,ACTIVE
ST-1554,ACTIVE
ST-1555,ACTIVE
ST-1559,ACTIVE
ST-1560,TEMPORARILY CLOSED
ST-1565,ACTIVE
ST-1573,ACTIVE
ST-1579,ACTIVE
ST-1594,ACTIVE
ST-1597,ACTIVE
ST-1598,ACTIVE
ST-1599,ACTIVE
ST-1601,ACTIVE
ST-1603,ACTIVE
ST-1606,ACTIVE
ST-1611,ACTIVE
ST-1613,ACTIVE
ST-1617,ACTIVE
ST-1620,ACTIVE
ST-1621,ACTIVE
ST-1622,ACTIVE
ST-1623,ACTIVE
ST-1625,ACTIVE
ST-1632,ACTIVE
ST-1633,ACTIVE
ST-1634,ACTIVE
ST-1636,ACTIVE
ST-1638,ACTIVE
ST-1643,ACTIVE
ST-1645,ACTIVE
ST-1646,ACTIVE
ST-1649,ACTIVE
ST-1650,ACTIVE
ST-1651,ACTIVE
ST-1656,ACTIVE
ST-1657,ACTIVE
ST-1660,ACTIVE
ST-1664,ACTIVE
ST-1665,ACTIVE
ST-1668,ACTIVE
ST-1673,ACTIVE
ST-1682,ACTIVE
ST-1685,ACTIVE
ST-1694,ACTIVE
ST-1696,ACTIVE
ST-1703,ACTIVE
ST-1704,ACTIVE
ST-1722,ACTIVE
ST-1726,ACTIVE
ST-1727,ACTIVE
ST-1730,ACTIVE
ST-1735,ACTIVE
ST-1763,ACTIVE
ST-1764,ACTIVE
ST-1765,ACTIVE
ST-1767,ACTIVE
ST-1770,ACTIVE
