site_id,site_name,mgmt_ip,vendor,cpe_type,region,Address,Island Group,City,Zip Code,parent_region
ST-0128,Los Ba�os,10.10.19.134,MIKROTIK,RB951,Laguna,"Batong Malaki National Highway, Los Ba�os, Laguna",Luzon,Los Ba�os,4030,patch01
ST-0130,Binakayan,10.10.0.166,MIKROTIK,RB951,Cavite,"Gen. Tirona Highway cor. Bisita St., Binakayan, Kawit, Cavite",Luzon,Kawit,4104,patch01
ST-0134,Molave,10.10.13.222,MIKROTIK,RB951,Metro Manila,"Bayan bayanan Ave. cor. Molave St., Concepcion, Marikina",Luzon,Marikina City,1811,patch01
ST-0135,Panapaan,10.10.34.50,MIKROTIK,RB951,Cavite,"Tirona Hi-way cor. Aguinaldo Hi-way, Panapaan, Cavite",Luzon,Bacoor,4102,patch01
ST-0137,San Pedro 3,10.10.40.158,MIKROTIK,RB951,Laguna,"Pacita cor. Macaria Ave., San Pedro, Laguna",Luzon,San Pedro,4023,patch01
ST-0138,Lipa Proper,10.10.1.182,MIKROTIK,RB951,Batangas,"C.M. Recto Ave., Lipa, Batangas",Luzon,Lipa City,4217,patch01
ST-0142,Tanza 1,10.10.14.234,MIKROTIK,RB951,Cavite,"Sta. Cruz cor. San Agustine Poblacion , Tanza, Cavite",Luzon,Tanza,4108,patch01
ST-0148,Jp Rizal 1,10.10.2.234,MIKROTIK,RB951,Metro Manila,"J.P. Rizal cor. Constancia St., Makati City",Luzon,Makati City,1200,patch01
ST-0150,Zabarte,10.10.3.102,MIKROTIK,RB951,Metro Manila,"Quirino Hiway cor. Zabarte Ave., Novaliches",Luzon,Quezon City,1123,patch01
ST-0153,Paco 2,10.10.10.142,MIKROTIK,RB951,Metro Manila,"Pedro Gil St. cor. Main St., Paco, Manila",Luzon,City of Manila,1007,patch01
ST-0154,Insular,10.10.17.54,MIKROTIK,RB951,Metro Manila,"P. Burgos St. cor. Gen. Luna St., Makati",Luzon,Makati City,1210,patch01
ST-0155,Onyx,10.10.12.50,MIKROTIK,RB951,Metro Manila,"A. Francisco cor. Onyx and Concha Sts., Sta. Ana, Manila",Luzon,City of Manila,1009,patch01
ST-0156,Guada 2,10.10.7.178,MIKROTIK,RB951,Metro Manila,"Sgt. Yabut nr. cor. Anastasio St., Guadalupe, Makati",Luzon,Makati City,1212,patch01
ST-0160,San Bartolome,10.10.3.106,MIKROTIK,RB951,Metro Manila,"M. Dela Cruz cor. Quirino Highway, Novaliches, Q.C.",Luzon,Quezon City,1123,patch01
ST-0162,San Fernando,10.10.18.202,MIKROTIK,RB951,Pampanga,"B. Mendoza cor. Tiomico St., San Fernando, Pampanga",Luzon,San Fernando,2000,patch01
ST-0168,TM Kalaw -,10.10.7.190,MIKROTIK,RB951,Metro Manila,"Kalaw cor. A. Mabini St., Ermita, Manila",Luzon,City of Manila,1000,patch01
ST-0175,MCU 2,10.10.23.58,MIKROTIK,RB951,Metro Manila,"EDSA cor. Benin St., Caloocan City",Luzon,Caloocan City,1400,patch01
ST-0176,Farmers,10.10.7.198,MIKROTIK,RB951,Metro Manila,"Space 1&2, 2nd Level New Farmers Plaza, Cubao, Q.C.",Luzon,Quezon City,1109,patch01
ST-0180,Batangas City,10.10.0.106,MIKROTIK,RB951,Batangas,"P. Burgos Ave. cor. P. Panganiban St., Batangas",Luzon,Batangas City,4200,patch01
ST-0192,Turbina,10.10.7.210,MIKROTIK,RB951,Laguna,"National Highway Brgy., Turbina, Calamba, Laguna",Luzon,Calamba,4027,patch01
ST-0195,RFM,10.10.15.30,MIKROTIK,RB951,Metro Manila,"RFM Corporate Center, Mandaluyong City",Luzon,Mandaluyong City,1550,patch01
ST-0200,Carmen,10.10.14.142,MIKROTIK,RB951,Pangasinan,"Mc Arthur Highway, Carmen, Rosales, Pangasinan",Luzon,Rosales,2441,patch01
ST-0204,Priscilla,10.10.1.158,MIKROTIK,RB951,Metro Manila,"Pasong Tamo Ext.Kayamanan - C, Makati City",Luzon,Makati City,1200,patch01
ST-0208,Angeles,10.10.16.110,MIKROTIK,RB951,Pampanga,"Sto. Rosario cor. Sukdulan St., Angeles City",Luzon,Angeles City,2009,patch01
ST-0209,Dagupan,10.10.12.10,MIKROTIK,RB951,Pangasinan,"Arellano St., Dagupan City",Luzon,Dagupan City,2400,patch01
ST-0210,Session 2,10.10.13.238,MIKROTIK,RB951,Benguet,"G/F B - 105 Lpez Bldg., Session Rd., Baguio City",Luzon,Baguio City,2600,patch01
ST-0213,Parkview,10.10.1.66,MIKROTIK,RB951,Metro Manila,"Valero St. cor. Salcedo Village, Makati City",Luzon,Makati City,1227,patch01
ST-0214,San Pablo 2,10.10.5.98,MIKROTIK,RB951,Laguna,"Leonor St. cor. Maharlika Hi-way, San Pablo, Laguna",Luzon,San Pablo City,4000,patch01
