site_id,mgmt_ip,sites_status,tag_location,tag_dctech
ST-0483,172.17.12.150,Active,NCR,na
ST-0486,10.10.8.62,Active,NCR,na
ST-0489,172.17.3.106,Active,NCR,na
ST-0490,10.10.1.170,Active,NCR,na
ST-0495,10.10.15.166,Active,NCR,na
ST-0497,172.17.7.141,Active,NCR,na
ST-0498,10.10.14.50,Active,NCR,na
ST-0500,172.17.6.160,Active,NCR,na
ST-0502,10.10.2.154,Active,NCR,na
ST-0503,172.17.1.194,Active,NCR,na
ST-0504,10.10.3.6,Active,NCR,na
ST-0505,10.10.13.214,Active,NCR,na
ST-0508,10.10.8.130,Active,NCR,na
ST-0509,10.10.8.146,Active,NCR,na
ST-0510,172.17.1.84,Temporarily Closed,NCR,na
ST-0512,172.17.2.234,Temporarily Closed,NCR,na
ST-0513,10.10.19.34,Active,NCR,na
ST-0517,172.17.12.154,Active,NCR,na
ST-0518,10.10.14.250,Temporarily Closed,NCR,na
ST-0524,10.10.8.90,Temporarily Closed,NCR,na
ST-0527,10.10.7.38,Active,NCR,na
ST-0528,10.10.31.62,Active,NCR,na
ST-0529,10.10.8.98,Active,NCR,na
ST-0530,10.10.0.182,Active,NCR,na
ST-0535,172.17.2.207,Active,NCR,na
ST-0536,10.10.2.58,Active,NCR,na
ST-0540,10.10.8.110,Active,NCR,na
ST-0551,172.17.2.68,Temporarily Closed,NCR,na
ST-0553,10.10.9.86,Active,NCR,na
ST-0554,10.10.2.254,Active,NCR,na
ST-0555,10.10.10.90,Active,NCR,na
ST-0558,10.10.8.126,Temporarily Closed,NCR,na
ST-0570,10.10.19.106,Active,NCR,na
ST-0576,10.10.19.22,Active,NCR,na
ST-0578,10.10.6.34,Active,NCR,na
ST-0579,172.17.2.102,Active,NCR,na
ST-0580,10.10.18.82,Active,NCR,na
ST-0581,172.17.7.218,Active,NCR,na
ST-0582,10.10.35.14,Active,NCR,na
ST-0583,172.17.12.58,Active,NCR,na
ST-0585,10.8.34.85,Active,NCR,na
ST-0587,10.10.8.138,Temporarily Closed,NCR,na
ST-0589,172.17.12.73,Active,NCR,na
ST-0590,10.10.8.142,Active,NCR,na
ST-0594,10.10.2.66,Active,NCR,na
ST-0614,10.10.25.190,Active,NCR,na
ST-0618,10.10.4.118,Active,NCR,na
ST-0619,10.10.3.46,Active,NCR,na
ST-0621,10.10.16.162,Active,NCR,na
ST-0622,172.17.6.104,Active,NCR,na
ST-0623,10.10.4.122,Active,NCR,na
ST-0627,10.10.14.242,Temporarily Closed,NCR,na
ST-0630,10.10.2.74,Active,NCR,na
ST-0632,172.17.13.134,Active,NCR,na
ST-0636,172.17.13.48,Active,NCR,na
ST-0641,10.10.7.174,Active,NCR,na
ST-0643,172.17.3.221,Active,NCR,na
ST-0645,172.17.3.197,Active,NCR,na
ST-0648,10.10.27.42,Active,NCR,na
ST-0649,172.17.0.33,Active,NCR,na
ST-0656,10.10.20.2,Active,NCR,na
ST-0657,10.10.2.82,Active,NCR,na
ST-0659,10.10.14.174,Active,NCR,na
ST-0660,10.10.14.178,Active,NCR,na
ST-0663,10.10.8.174,Active,NCR,na
ST-0664,10.10.15.70,Active,NCR,na
ST-0665,10.10.2.86,Active,NCR,na
ST-0668,10.10.20.42,Active,NCR,na
ST-0669,172.17.12.72,Active,NCR,na
ST-0670,172.17.0.4,Active,NCR,na
ST-0673,172.17.1.215,Active,NCR,na
ST-0674,10.10.12.62,Active,NCR,na
ST-0675,10.10.5.210,Active,NCR,na
ST-0676,10.10.8.182,Active,NCR,na
ST-0677,10.10.14.10,Active,NCR,na
ST-0679,10.10.8.186,Active,NCR,na
ST-0681,172.17.0.34,Active,NCR,na
ST-0684,10.10.2.94,Active,NCR,na
ST-0690,10.8.34.190,Active,NCR,na
ST-0696,10.10.2.134,Active,NCR,na
ST-0698,172.17.12.107,Active,NCR,na
ST-0701,10.10.2.98,Active,NCR,na
ST-0703,10.10.15.14,Active,NCR,na
ST-0704,10.10.5.242,Active,NCR,na
ST-0706,10.10.16.174,Active,NCR,na
ST-0707,10.10.9.246,Active,NCR,na
ST-0712,10.10.13.250,Active,NCR,na
ST-716,#N/A,Active,NCR,na
ST-0719,10.10.5.146,Active,NCR,na
ST-0720,172.17.3.180,Active,NCR,na
ST-0722,10.10.16.82,Temporarily Closed,NCR,na
ST-0724,10.10.4.130,Active,NCR,na
ST-0725,172.17.1.83,Active,NCR,na
ST-0730,10.10.0.238,Active,NCR,na
ST-0733,10.10.9.38,Active,NCR,na
ST-0742,10.10.2.102,Temporarily Closed,NCR,na
ST-0744,10.10.9.186,Active,NCR,na
ST-0745,10.10.0.82,Active,NCR,na
ST-0749,10.10.5.226,Active,NCR,na
ST-0750,10.10.0.254,Active,NCR,na
ST-0751,10.10.1.42,Active,NCR,na
ST-0758,172.17.2.155,Active,NCR,na
ST-0760,10.10.11.226,Active,NCR,na
ST-0762,172.17.7.53,Temporarily Closed,NCR,na
ST-0763,10.10.11.106,Temporarily Closed,NCR,na
ST-0764,172.17.6.94,Temporarily Closed,NCR,na
ST-0766,10.10.13.118,Active,NCR,na
ST-0768,10.10.14.198,Active,NCR,na
ST-0770,10.10.5.186,Active,NCR,na
ST-0773,10.10.10.14,Active,NCR,na
ST-0779,172.17.12.128,Active,NCR,na
ST-0780,10.10.5.158,Active,NCR,na
ST-0782,10.10.39.230,Active,NCR,na
